Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,20000000,20000000,19875000,19875000,18459011,20600
1998-03-02,19750000,19875000,19250000,19250000,17878536,8700
1998-03-03,19250000,19375000,19000000,19000000,17646347,4800
1998-03-04,19000000,19375000,18750000,19125000,17762440,43000
1998-03-05,19000000,19750000,19000000,19750000,18342907,24900
1998-03-06,19750000,20250000,19687500,20125000,18691198,53900
1998-03-09,20000000,22000000,19875000,21875000,20316509,38700
1998-03-10,21250000,22500000,21250000,21750000,20200424,68500
1998-03-11,22250000,22500000,22000000,22500000,20896992,272100
1998-03-12,22562500,23375000,22000000,22750000,21129181,85500
1998-03-13,23437500,23437500,22750000,22875000,21245272,46600
1998-03-16,23000000,23000000,22500000,22625000,21013084,27700
1998-03-17,23000000,23000000,22125000,22812500,21187227,67600
1998-03-18,22750000,22750000,22500000,22750000,21129181,25000
1998-03-19,22750000,22750000,22562500,22625000,21013084,87100
1998-03-20,22750000,23000000,22000000,22750000,21129181,43100
1998-03-23,22750000,23250000,22500000,22875000,21245272,96000
1998-03-24,22625000,22875000,22375000,22375000,20780895,21000
1998-03-25,22750000,22750000,21500000,21500000,19968237,13100
1998-03-26,21312500,21625000,21250000,21250000,19736048,73700
1998-03-27,22000000,23500000,21500000,23000000,21361366,94300
1998-03-30,23750000,23750000,23125000,23125000,21477461,26500
1998-03-31,24000000,24000000,23125000,24000000,22290115,21700
1998-04-01,24000000,24000000,23000000,23625000,21941837,36700
1998-04-02,24000000,24000000,23250000,23875000,22174023,16800
1998-04-03,23375000,24875000,23375000,24750000,22986689,85800
1998-04-06,24250000,25000000,23750000,23750000,22057932,255900
1998-04-07,23750000,24250000,23750000,24000000,22290115,70800
1998-04-08,24250000,24250000,23937500,24000000,22290115,10200
1998-04-09,24000000,24250000,23750000,23812500,22115984,134900
1998-04-13,24125000,24250000,23875000,23875000,22174023,98400
1998-04-14,23875000,24000000,23750000,23937500,22232073,69600
1998-04-15,24000000,24000000,23750000,24000000,22290115,6700
1998-04-16,24000000,24500000,24000000,24500000,22754496,25100
1998-04-17,24500000,26000000,24437500,25500000,23683254,34100
1998-04-20,25500000,25875000,25250000,25500000,23683254,21600
1998-04-21,25625000,25625000,25000000,25375000,23567154,8900
1998-04-22,25875000,25875000,25375000,25375000,23567154,20700
1998-04-23,25000000,25250000,25000000,25250000,23451065,8000
1998-04-24,24250000,25000000,24250000,24875000,23102776,11600
1998-04-27,24125000,25375000,24000000,25125000,23334970,37500
1998-04-28,25500000,26250000,24500000,24625000,22870592,67500
1998-04-29,25125000,25125000,24250000,24500000,22754496,9800
1998-04-30,24375000,24375000,23375000,24375000,22638407,42100
1998-05-01,23687500,24750000,23687500,24750000,22986689,5800
1998-05-04,24875000,24875000,24000000,24000000,22290115,3300
1998-05-05,24125000,24250000,23000000,23000000,21361366,30700
1998-05-06,23250000,23500000,23000000,23375000,21709648,46100
1998-05-07,23000000,24250000,23000000,24000000,22290115,13900
1998-05-08,24000000,24375000,24000000,24375000,22638407,12900
1998-05-11,24500000,24625000,24437500,24625000,22870592,2800
1998-05-12,24437500,24500000,24375000,24375000,22638407,11400
1998-05-13,24375000,24437500,24000000,24125000,22406221,4300
1998-05-14,23937500,23937500,23812500,23812500,22115984,3000
1998-05-15,23937500,24000000,23812500,23812500,22115984,3900
1998-05-18,23750000,23750000,23500000,23625000,21941837,2000
1998-05-19,23500000,23562500,22750000,22750000,21129181,8300
1998-05-20,22562500,22625000,22562500,22562500,20955038,4500
1998-05-21,22687500,22812500,22625000,22750000,21129181,21300
1998-05-22,21000000,21562500,21000000,21250000,19736048,784900
1998-05-26,21250000,21875000,21250000,21437500,19910187,125500
1998-05-27,21250000,21375000,21250000,21250000,19736048,56400
1998-05-28,21312500,21625000,21312500,21562500,20026283,47900
1998-05-29,21687500,21687500,21375000,21500000,19968237,36800
1998-06-01,21500000,21500000,21250000,21312500,19794096,74400
1998-06-02,21250000,21375000,21250000,21312500,19794096,17900
1998-06-03,21312500,21562500,21250000,21375000,19852142,30700
1998-06-04,21375000,21812500,21375000,21562500,20026283,51400
1998-06-05,21500000,21750000,21500000,21625000,20084320,14100
1998-06-08,21500000,21750000,21500000,21625000,20084320,23600
1998-06-09,21750000,21750000,21375000,21625000,20084320,31100
